Subnum,Parent1,Parent2,Parent3,PR1,PR2,PR3,RS1,RS2,RS3,Commit1,Commit2,Commit3,Stability1,Stability2,Stability3,Stability4,age,gender,living_area,pol_orientation_overall
145,2,6,2,2,1,1,1,1,1,5,5,5,3,2,4,5,18,2,2,2
233,1,3,3,5,5,4,1,1,1,3,6,3,2,1,3,3,20,1,2,3
137,4,6,6,6,6,6,5,4,4,5,4,4,3,3,4,5,18,2,2,3
28,5,6,2,2,2,2,1,2,1,4,5,4,1,2,3,2,21,2,2,2
216,6,6,3,3,5,3,1,2,2,4,5,4,5,4,5,5,19,2,1,1
71,1,1,1,1,1,1,1,1,1,3,6,5,4,2,3,5,19,2,5,2
338,2,5,1,5,5,1,5,6,2,2,4,5,3,2,6,2,18,2,2,1
20,3,2,2,1,1,5,3,2,4,6,5,6,5,4,6,6,20,2,2,7
83,6,3,2,3,3,5,4,3,4,5,6,2,2,3,2,4,19,2,2,1
293,4,1,1,3,3,5,1,1,1,4,4,4,4,4,1,4,18,1,3,4
190,6,6,4,1,1,1,1,1,2,1,1,2,3,1,2,5,18,2,2,3
133,3,4,4,1,1,1,1,1,1,3,1,6,7,5,6,7,19,2,1,2
179,6,6,6,1,1,1,1,1,1,5,6,7,3,1,2,2,19,2,2,3
319,1,1,1,1,1,1,1,1,1,4,5,4,1,3,2,1,18,2,3,4
251,6,2,7,2,2,4,6,1,6,1,1,1,2,2,2,4,19,1,1,4
339,6,6,6,5,6,7,1,1,2,4,3,6,5,7,6,6,18,2,2,1
138,3,5,5,3,3,5,2,2,2,3,5,6,5,3,2,3,18,2,2,4
135,5,6,5,6,5,3,1,2,1,6,6,6,2,2,3,3,19,1,5,2
172,5,7,7,2,2,2,5,2,7,2,4,5,7,6,5,4,19,2,4,4
191,5,5,2,3,3,3,5,6,5,2,2,2,3,5,2,3,19,2,2,4
336,3,5,3,3,2,4,6,5,5,2,3,3,3,5,3,3,19,2,2,4
316,4,2,1,3,5,1,1,1,1,5,7,7,1,6,1,1,19,1,2,1
234,2,3,2,1,1,1,1,1,1,2,5,5,5,5,6,5,19,2,2,4
77,5,6,7,7,7,5,4,6,3,6,5,2,6,1,6,5,19,3,2,7
149,5,5,4,4,4,2,2,1,2,2,6,7,1,5,6,2,18,2,2,4
