pnum,ospan,symspan,rspan,color,shape,space,orient,motion,colorK,shapek,raven,ns,cf,rel2,anti,drop48,picsource,pa,dfrp,ospanrt,symspanrt,rspanrt
125,48,30,47,2.59,2.28,3.48,2.39,3.04,2.13,0.27,11,13,35,0.08,0.53,0.67,0.68,0.43,0.37,2078,1916,3409
126,61,30,73,1.85,2.48,4.01,0.96,1.39,0.87,0.47,8,11,30,0.09,0.77,1.07,0.76,0.7,0.72,3030.5,3503,4176
127,69,23,73,1.97,0,4.59,1.42,0.19,1.13,0,7,11,34,0.14,0.42,0.4,0.87,0.33,0.53,2364,1272.5,2494
129,16,12,33,1.28,0,1.69,0,0,1.53,0.87,13,10,32,0.06,0.57,-0.27,0.76,0.63,0.72,3659.5,1381,3992.5
130,69,34,73,2.21,0.94,4.85,1.92,1.07,1.8,2,7,10,32,0.2,0.7,1.73,0.69,0.23,0.4,3543,1720,3224
131,46,41,44,2.65,0.87,4.66,2.25,2.09,1.4,1.27,9,6,37,0.03,0.55,-0.27,0.59,0.23,0.62,3223,1748,4114.5
132,70,39,62,2.46,0,5.33,4.32,3.73,1.93,1.13,15,11,36,0.02,0.55,0.13,0.75,0.87,0.57,2325,1557.5,3399
135,61,38,40,1.56,4.1,3.3,2.61,2.83,1.2,3.33,3,12,36,0.06,0.62,1.2,0.74,0.6,0.43,3522,2343,5907
136,71,31,64,2.82,1.71,4.22,1.73,2.2,1.73,1.6,9,7,34,0.26,0.52,0.67,0.82,0.47,0.62,3607,1795,3793
137,49,21,34,2.41,2.92,5.61,2.16,1.71,1.8,0.6,8,11,29,0.1,0.6,1.07,0.6,0.4,0.5,3049,2160,3477
138,48,32,43,2.51,0.69,3.81,1.14,0.3,0.87,1.13,10,10,37,0.18,0.65,0.27,0.68,0.33,0.55,3301,2039,4953.5
140,75,34,65,2.32,1.22,5,1.64,1.61,0.93,0.67,8,10,34,0.06,0.52,-0.4,0.67,0.9,0.7,4483,2150.5,4704
141,72,39,72,1.38,1.22,4.69,2.22,1.57,0.53,1.2,8,14,36,0.08,0.8,-0.8,0.87,0.5,0.7,1605,1607.5,2106
142,72,38,73,2.29,3.79,3.03,3.66,2.39,2.53,2.53,14,15,34,0.07,0.99,0.8,0.94,0.77,0.87,2877,2381,3641
143,63,25,56,2.42,0,3.03,2.2,1.62,1.8,1.4,8,8,36,0.19,0.67,0,0.73,0.9,0.82,3504,2380.5,3836
144,62,24,14,1.65,0,1.51,0,0,2.53,1.73,8,4,34,0.14,0.65,-0.13,0.84,0.13,0.3,3154,2219.5,3100
145,66,27,63,3.37,2.81,4.94,1.74,2.07,2.87,1.87,12,10,32,0.04,0.54,-0.67,0.66,0.67,0.63,3141,2810,3683
146,64,30,50,1.33,1.89,4.44,0.6,1.14,1.13,0.13,9,9,34,0.11,0.53,1.33,0.43,0.17,0.38,2558,2320,3468
147,59,26,54,2.15,0,5.1,0.62,0,1.93,-0.07,9,7,35,0.09,0.6,0.4,0.83,0.5,0.52,3320,1839,4898
150,51,20,29,1.06,1.3,2.41,2.31,1.47,1.4,0.8,9,7,34,0.18,0.55,0.27,0.9,0.23,0.33,5188,4458.5,5012
152,60,40,70,2.27,3.21,5.29,2.7,2.85,2.87,3,14,8,39,0.06,0.75,-1.07,0.95,0.87,0.55,2865.5,1738.5,2470
153,68,33,66,2.67,1.96,5.53,3.46,2.84,2.2,1.8,10,9,44,0.07,0.87,1.07,0.78,0.53,0.58,2112,1625,3511
154,65,30,65,2.2,0,3.82,0,0,1.2,1.2,14,10,36,0.18,0.65,0.8,0.8,0.7,0.53,4136,1628,2811
155,75,31,69,3.38,3.21,5.66,3.85,3.94,2.27,3.33,12,8,34,0.04,0.69,-0.67,0.67,0.6,0.9,2148,2101.5,2928
156,44,29,47,2.16,2.34,5.1,2.23,1.86,2.8,1.67,9,7,27,0.06,0.69,-1.2,0.8,0.47,0.47,1411,2203.5,4963
158,71,37,62,2.79,1.06,4.87,2.91,2.33,1.93,0.8,5,6,30,0.1,0.64,-0.4,0.79,0.33,0.4,3065,1700,5540
